RAZITKO;DATABAZE;POPIS;DATABAZE1;RAZITKO1;POPIS1;TEXTBOX;TAB;vazba;sloupec;Dokument;Zákazník;Projekt;Task;Autor;Revize;Typ;Zámek;Cislo;Profese;Tøídìní
SUBJECT1;NAZ_PROJ;NÁZEV PROJEKTU;C_PROJ;PROJ_NUM;èíslo projektu;1;Projekt;ID;cislo;ID;ID;ID;ID;ID;ID;ID;ID;ID;ID;ID
SUBJECT2;NAZ_UKOL;STUPEÒ PROJEKTU;CYCOSTATUS;;;2;;;;nazev;jmeno;cislo;cislo;jmeno;Popis;dokument;lock;predcisli;Profese;
SUBJECT3;;;NAZ_PROJ;SUBJECT1;název projektu;3;Projekt;ID;nazev;poèet_stran;adresa;nazev;jmeno;prijmeni;datum;pripona;;stredocisli;;
SUBJECT4;;;INVESTOR;;jméno investora;4;Zákazník;;jmeno;global_id;tel;;stupeò;titul;èíslo;;;cislodocu;;
SUBJECT5;NAZEV;Název výkresu;M_STAVBY;;místo stavby;5;Stavba;;místo;cesta;;;zkratka;hip;;;;;;
EXTREF;;;C_UKOL;TASK;èíslo èásti projektu;6;Task;;cislo;ID_pøedchozi;;;;;;;;Vazba;;
CONFIDENT;;Stupeò utajení;NAZ_UKOL;SUBJECT2;název ukolu;7;Task;;jmeno;Druh;;;;;;;;Tabulka;;
rev-5;;;HIP;;jméno manažera;8;Jmeno;;hip:prijmeni;poøadové;;;;;;;;;;
rev-1;C_REV;;DIL;OCD;tøídìní;9;Trideni;;;meritko;;;;;;;;;;
rev-2;;;CAST;OCD;tøídìní;10;Trideni;;;;;;;;;;;;;
rev-3;;;PROFESE;OCD;tøídìní;11;Trideni;;;;;;;;;;;;;
rev-4;;;PORADI;OCD;tøídìní;12;Trideni;;;;;;;;;;;;;
date-1;DAT_REV;;OR_CISLO;OCD;tøídìní;13;Trideni;;;;;;;;;;;;;
date-2;;;NAZEV;SUBJECT5;jméno výkresu;14;Dokument;;nazev;;;;;;;;;;;
date-3;;;AUTOR;;;15;Autor;ID;prijmeni;;;;;;;;;;;
date-4;;;PSSO;OCD;;16;Trideni;;;;;;;;;;;;;
date-5;;;PCC;;pøedèíslí èísla dokumentu;17;Cislo;ID;predcisli;;;;;;;;;;;
description-1;POP_REV;;TD;X;støed èísla dokumentu;18;Cislo;ID;stredocisli;;;;;;;;;;;
description-2;;;PCDOC;NUMBER;èíslo dokumentu;19;Cislo;ID;cislodocu;;;;;;;;;;;
description-3;;;TYP_DOC;;Druh dokumentu(doc,xls,dwg);20;Typ;ID;dokument;;;;;;;;;;;
description-4;;;VYBAVENI;;;21;;;;;;;;;;;;;;
description-5;;;P_STR;;Poèet stran dokuemntu;22;Dokument;;poèet_stran;;;;;;;;;;;
status-1;;NEEXISTUJE;POV;;;23;;;;;;;;;;;;;;
status-2;;;DAT_REV;date-1;datum vydání;24;Rev;ID;datum;;;;;;;;;;;
status-3;;;C_REV;2;èíslo revize karty;25;Rev;ID;èíslo;;;;;;;;;;;
status-4;;;AUT_REV;name1-1;;26;Autor;ID;prijmeni;;;;;;;;;;;
status-5;;;ID_DOC;;;27;Dokument;ID;ID;;;;;;;;;;;
name1-1;AUT_REV;;PATH;;;28;Dokument;ID;cesta;;;;;;;;;;;
name1-2;;;GLOBALID;;jednoznaèné id;29;Dokument;ID;global_id;;;;;;;;;;;
name1-3;;;LOCKFLAG;;možná uzamnèení;30;Zamek;ID;lock:1;;;;;;;;;;;
name1-4;;;REVFLAG;;"všude je písmeno ""H""";31;;;;;;;;;;;;;;
name1-5;;;EXT;;;32;Typ;ID;pripona;;;;;;;;;;;
name2-1;KONTROL;;APSSO;;;33;Trideni;;;;;;;;;;;;;
name2-2;;;FPC;;vytvoøené èíslo dokumentu;34;Setavení;;;;;;;;;;;;;
name2-3;PRIDANO;;ID_DOCR;;pøedchozí revize ID_DOC;35;Dokument;ID;ID_pøedchozi;;;;;;;;;;;
name2-4;;;OR_CIT;ISSUER;;36;Dokument;ID;poøadové;;;;;;;;;;;
name2-5;;;POM;;DRUH DOKUEMTU VYKR TEST NIC;37;Dokument;ID;Druh;;;;;;;;;;;
name3-1;SCHVALIL;;PROF_CX;ISSUER;;38;Profese;ID;Profese;;;;;;;;;;;
name3-2;;;C_SUBREV;;Nevim;39;;;;;;;;;;;;;;
name3-3;;;YES;;Povrzení ANO;40;Zamek;ID;lock:0;;;;;;;;;;;
name3-4;;;NO;;Zamítnutí NE;41;Zamek;ID;lock:2;;;;;;;;;;;
name3-5;;;MANAG;;;42;;;;;;;;;;;;;;
name4-1;;NEEXISTUJE;ID_DOCM;;;43;;;;;;;;;;;;;;
name4-2;;;SIGNUM;;;44;;;;;;;;;;;;;;
name4-3;;;TITLEBLOCK;;;45;;;;;;;;;;;;;;
name4-4;;;TITLESCALE;scale;Mìøitko;46;Dokument;ID;meritko;;;;;;;;;;;
name4-5;;;TITLESHEET;;;47;;;;;;;;;;;;;;
REPLACES;;;FLGN_E;;;48;;;;;;;;;;;;;;
scale;TITLESCALE;;POP_REV;description-1;;49;Rev;ID;Popis;;;;;;;;;;;
sheet;;;SIG;;;50;;;;;;;;;;;;;;
size;;;ID_DOCD;;asi duplikát;51;;;;;;;;;;;;;;
TYPPROJ;C_PROJ;bude také doplnìn PROJ_NUM;ID_DOCC;;stejne jako ID_DOC;52;;;;;;;;;;;;;;
TASK;C_UKOL;;ODBOR;;;53;;;;;;;;;;;;;;
X;TD;;PS_SO;;;54;;;;;;;;;;;;;;
NUMBER;PCDOC;;CISLO;;;55;;;;;;;;;;;;;;
FOLIO;FOLIO;;SPD_LA;;zktatka stupnì projektu;56;Task;ID;zratka;;;;;;;;;;;
REV;C_REV;;SPD_TX;;text stupnì projektu;57;Task;ID;stupeò;;;;;;;;;;;
ISSUER;PROF_CX;PROF_CX,OR_CIT;KONTROL;name2-1;;58;Autor;ID;prijmeni;;;;;;;;;;;
OCD;APSSO;DIL,CAST,PROFESE,PORADI,OR_CISLO;SCHVALIL;name3-1;;59;Autor;ID;prijmeni;;;;;;;;;;;
PROJ_NUM;;;CD_PUV;;;60;;;;;;;;;;;;;;
INDICATOR;;NEEXISTUJE;NAZEV2;SUBJECT4;už se nepoužívá;61;;;;;;;;;;;;;;
;;;ISSUER;;;62;;;;;;;;;;;;;;
;;;PROJECT;;;63;;;;;;;;;;;;;;
;;;TYPE;;;64;;;;;;;;;;;;;;
;;;NUMBER;;;65;;;;;;;;;;;;;;
;;;FOLIO;FOLIO;;66;;;;;;;;;;;;;;
